season,Match_date,city,team1,team2,winner,toss_winner,toss_decision,win_by_runs,win_by_wickets
2012,2012/10/30,Pallekele,Sri Lanka , New Zealand,,Sri Lanka ,field,-,-
2012,2012/12/10,Dhaka,Bangladesh , West Indies, West Indies, West Indies,bat,18,
2012,2012/12/20,Pune,India , England,India ,India ,field,,5
2012,2012/12/21,Durban,South Africa , New Zealand,South Africa , New Zealand,bat,,8
2012,2012/12/22,Mumbai,India ,England,England,England,field,,6
2012,2012/12/23,East London,South Africa , New Zealand, New Zealand, New Zealand,field,,8
2012,2012/12/25,Bengaluru,India , Pakistan, Pakistan, Pakistan,field,,5
2012,2012/12/26,Port Elizabeth,South Africa , New Zealand,South Africa ,South Africa ,bat,33,
2012,2012/12/28,Ahmedabad,India , Pakistan,India , Pakistan,field,11,
2013,2013/01/26,Sydney,Australia , Sri Lanka, Sri Lanka,Australia ,bat,,5
2013,2013/01/28,Melbourne,Australia ,Sri Lanka,Sri Lanka,Australia ,field,2,
2013,2013/02/09,Auckland,New Zealand ,England,England,New Zealand ,field,40,
2013,2013/02/12,Hamilton,New Zealand ,England,New Zealand ,England,field,55,
2013,2013/02/13,Brisbane,Australia , West Indies, West Indies, West Indies,bat,27,
2013,2013/02/15,Wellington,New Zealand ,England,England,England,field,,
2013,2013/03/01,Durban,South Africa ,Pakistan,,,,-,-
2013,2013/03/02,North Sound,West Indies,Zimbabwe,West Indies,Zimbabwe,bat,,8
